Formula:  y ~ Age + Sex + HIV.Status + (1 | PIN) + (1 | ID) 
 
"","pval_Age","pval_Sex","pval_HIV.Status","adjp_Age","adjp_Sex","adjp_HIV.Status","coeff_Age","coeff_Sexmale","coeff_HIV.StatusHUU"
"CD56intCD16+/NKG2C+ (Total NK)/CD107a+",0.84891333842372,0.00734010222255976,0.871291539636598,0.924133507651138,0.0479371328681106,0.999993719894091,0.106253983233409,1.01846407067998,0.232369906554943
"CD56intCD16+/NKG2C+ (Total NK)/CD57-",0,0.996816945225885,0.999089671590261,0,0.999968591939375,0.999993719894091,-0.604575380104983,-0.0469215190351599,0.0307985544707691
"CD56intCD16+/NKG2C+ (Total NK)/CD57+",0,0.99738274088529,0.999209307796651,0,0.999968591939375,0.999993719894091,0.605395357760283,0.0439093758818752,-0.0293677724128006
"NKG2C- (gd)",0.0971036889468307,0.712217398194309,0.803057396792285,0.151834859080499,0.999968591939375,0.999993719894091,-0.174148999124214,-0.197297417971793,0.16765790422889
"NKG2C- (gd)/CD107a-",0.998731684570719,0.250463175160735,0.32664105394258,0.999999999917637,0.846579580550648,0.999993719894091,-0.0126968557385281,-0.437721429587717,-0.388836489549854
"NKG2C- (gd)/CD107a+",0.999098500757054,0.255942663887405,0.328372318851508,0.999999999917637,0.846579580550648,0.999993719894091,0.011341538396529,0.433682783423813,0.387022843211166
"NKG2C- (gd)/CD57-",0,0.99843310930667,0.00260310810436948,0,0.999968591939375,0.0373112161626292,-0.496091958305418,-0.0375941463523698,0.861635927445315
"NKG2C- (gd)/CD57+",0,0.997773919459025,0.00255845390139253,0,0.999968591939375,0.0373112161626292,0.49155276932592,0.0424463044679682,-0.865906334403853
"NKG2C+ (gd)",0.0111404072214424,0.957807054317512,0.732149537491318,0.0252125005537907,0.999968591939375,0.999993719894091,0.254713206830474,0.0965510527262705,-0.198593861992839
"NKG2C+ (gd)/CD107a-",0.842788615006333,0.846534268037844,0.5154728390118,0.924133507651138,0.999968591939375,0.999993719894091,0.195033148092949,-0.522910247085405,0.798035474494496
"NKG2C+ (gd)/CD107a+",0.999950922534853,0.93491643159124,0.824127445375211,0.999999999917637,0.999968591939375,0.999993719894091,-0.0131180689930157,0.407132950873952,-0.534260202759485
